manufacturing_year,odometer_km,cycle_count,battery_health_percent,internal_resistance,charge_efficiency,remaining_capacity,charging_cycles_last_month,fast_charge_ratio,average_trip_distance,daily_distance,cooling_system_health,thermal_runaway_risk,voltage_imbalance,battery_stress_index,thermal_health_score,charging_quality_score,predicted_remaining_life_cycles,battery_failure
2022.0,88899.0,165.0,88.53,0.3428,94.22,66.01,9.0,0.489,41.4,73.2,86.8,60.1,12.9,39.0,52.4,27.9,937.0,0
2020.0,76760.0,244.0,89.91,0.4364,95.95,64.02,3.0,0.319,18.9,43.4,83.0,51.1,21.42,27.6,54.9,60.2,1175.0,0
2023.0,39451.0,221.0,90.39,0.4515,94.5,54.63,2.0,0.096,13.2,37.4,79.0,55.8,20.97,14.7,55.7,70.5,1206.0,0
2016.0,500.0,5.0,95.09,0.4153,95.07,57.78,1.0,0.573,1.0,3.0,62.0,50.2,21.6,52.9,61.6,28.0,1407.0,0
2024.0,22105.0,41.0,99.71,0.322,96.71,99.29,2.0,0.185,33.9,46.0,98.9,51.3,9.37,20.8,65.9,80.4,1187.0,0
2024.0,18146.0,1.0,99.8,0.3127,96.68,60.11,4.0,0.43,7.7,11.3,74.9,60.9,16.2,32.8,58.4,53.6,1030.0,0
2024.0,17794.0,34.0,94.81,0.3853,96.63,77.84,1.0,0.3,10.5,47.1,93.1,50.9,10.23,21.7,52.7,57.4,1419.0,0
2023.0,1522.0,1.0,99.8,0.4027,94.98,101.02,5.0,0.266,1.0,3.0,85.3,41.6,8.37,16.2,74.8,71.0,1532.0,0
2023.0,78549.0,112.0,99.64,0.3942,98.03,57.81,2.0,0.153,31.4,38.1,95.6,41.0,8.61,0.0,65.0,100.0,1363.0,0
2015.0,14016.0,76.0,94.64,0.4767,94.51,73.9,4.0,0.234,3.8,11.7,44.3,47.5,18.38,22.4,56.2,58.6,1324.0,0
2016.0,226017.0,487.0,72.28,0.6794,91.89,70.54,8.0,0.026,24.4,75.3,56.4,65.2,18.33,43.3,60.0,79.8,702.0,0
2019.0,189188.0,412.0,75.23,0.4758,92.96,66.21,9.0,0.305,37.4,89.4,73.0,69.9,22.58,28.8,43.5,57.2,1030.0,0
2023.0,79655.0,283.0,82.18,0.5796,93.16,52.67,7.0,0.566,46.5,94.3,85.7,53.9,18.33,19.5,59.1,29.6,957.0,0
2016.0,120410.0,276.0,82.94,0.5365,93.13,73.65,3.0,0.329,27.9,36.6,60.5,58.9,12.78,35.3,54.6,61.8,1030.0,0
2017.0,112954.0,304.0,83.42,0.5251,93.78,67.73,3.0,0.433,19.9,36.9,62.3,57.2,30.2,31.9,52.3,58.7,1038.0,0
2018.0,157495.0,508.0,70.35,0.525,93.14,45.37,9.0,0.184,25.0,68.4,83.9,74.7,17.02,17.6,50.5,56.0,446.0,0
2020.0,42685.0,20.0,93.39,0.4648,95.79,80.07,1.0,0.556,15.1,22.0,81.2,49.8,11.65,59.9,64.4,21.7,1396.0,0
2015.0,127249.0,177.0,92.44,0.3675,96.84,108.69,3.0,0.226,29.8,37.3,61.4,62.5,15.86,39.1,52.2,63.0,938.0,0
2024.0,51888.0,67.0,96.42,0.4258,96.33,91.83,7.0,0.265,24.4,81.6,100.0,45.4,18.33,41.3,64.3,52.8,1394.0,0
2022.0,28454.0,142.0,89.11,0.4166,96.42,34.22,5.0,0.148,6.7,21.7,99.1,67.5,13.7,34.9,48.6,100.0,967.0,0
2015.0,71583.0,218.0,70.27,0.6516,92.83,48.06,1.0,0.362,14.6,22.1,46.0,46.8,28.4,29.7,62.4,61.0,389.0,0
2021.0,500.0,1.0,99.8,0.384,97.52,67.99,1.0,0.056,2.4,6.1,73.2,51.4,7.24,12.9,60.2,100.0,1252.0,0
2024.0,49279.0,188.0,87.97,0.4218,95.3,49.22,9.0,0.06,45.0,73.4,86.8,65.6,16.46,2.6,49.3,77.0,924.0,0
2020.0,60896.0,145.0,94.04,0.4105,97.83,78.09,3.0,0.163,13.6,33.3,75.1,51.3,19.72,21.4,53.2,78.5,1271.0,0
2018.0,87134.0,188.0,87.88,0.5235,96.64,78.73,1.0,0.702,12.0,31.8,69.2,47.6,10.25,35.4,54.6,40.3,1188.0,0
2016.0,19066.0,38.0,97.89,0.3168,97.15,82.14,1.0,0.152,1.0,3.0,53.9,68.3,20.61,6.1,51.0,85.8,1183.0,0
2020.0,133616.0,383.0,77.65,0.6383,95.34,58.81,6.0,0.584,28.3,73.2,85.1,56.8,21.81,64.2,42.4,26.4,873.0,0
2022.0,31397.0,115.0,92.55,0.3846,99.5,48.6,2.0,0.319,13.7,34.1,77.9,69.1,15.34,16.1,49.9,41.6,939.0,0
2019.0,78549.0,77.0,96.11,0.5063,96.65,59.47,5.0,0.326,8.8,19.5,78.0,51.7,7.66,62.6,65.4,44.2,1336.0,0
2018.0,96458.0,187.0,93.63,0.4127,94.1,82.17,4.0,0.182,14.2,40.6,68.8,52.2,20.59,6.2,67.2,78.6,1238.0,0
2024.0,38392.0,45.0,93.15,0.3784,97.31,87.97,1.0,0.416,14.8,40.6,81.6,80.5,16.01,65.7,42.7,40.3,1089.0,0
2024.0,18664.0,42.0,96.86,0.3277,95.7,107.05,1.0,0.317,11.9,31.6,81.8,64.7,17.07,3.9,46.5,71.4,1117.0,0
2024.0,17756.0,1.0,87.61,0.3792,99.5,73.21,4.0,0.436,23.8,43.3,94.2,55.8,12.77,53.4,59.6,63.8,1492.0,0
2019.0,47222.0,214.0,85.88,0.553,93.48,81.76,1.0,0.059,8.3,47.1,69.4,48.6,28.4,9.9,60.7,85.1,583.0,0
2021.0,51029.0,183.0,86.63,0.404,96.31,69.68,1.0,0.112,19.0,38.8,57.0,57.1,28.11,0.0,58.3,68.6,889.0,0
2023.0,29574.0,63.0,93.81,0.4877,95.22,84.49,4.0,0.054,28.3,42.2,95.0,49.4,8.14,50.9,63.2,82.6,1330.0,0
2016.0,172557.0,357.0,79.5,0.5303,94.92,77.03,2.0,0.243,29.5,61.3,55.5,62.9,20.68,24.8,43.7,80.1,946.0,0
2018.0,162409.0,345.0,78.68,0.4687,93.38,73.28,5.0,0.121,21.6,70.4,62.9,74.2,31.58,5.7,41.3,85.9,646.0,0
2020.0,7510.0,214.0,99.8,0.5063,94.98,121.78,1.0,0.355,7.1,18.5,91.4,34.4,14.62,45.6,69.5,58.7,778.0,0
2017.0,36633.0,146.0,87.61,0.4943,96.89,51.06,4.0,0.335,10.1,15.2,68.8,61.2,17.8,35.9,49.5,61.1,934.0,0
2023.0,500.0,48.0,99.8,0.3738,96.27,40.86,2.0,0.256,1.8,3.0,91.8,47.8,9.55,9.4,60.9,65.4,1433.0,0
2017.0,165489.0,476.0,81.09,0.6016,95.46,56.36,3.0,0.376,42.5,55.5,36.6,64.7,28.83,30.6,57.5,47.7,804.0,0
2020.0,163076.0,284.0,83.74,0.5585,96.22,94.71,5.0,0.227,49.1,84.7,82.4,55.3,20.8,15.2,61.1,60.6,1030.0,0
2020.0,18562.0,154.0,96.01,0.3838,94.98,35.15,1.0,0.319,1.7,47.1,83.4,52.3,7.78,30.5,56.9,35.3,1030.0,0
2022.0,58607.0,84.0,97.44,0.405,95.47,86.28,7.0,0.262,14.9,46.8,80.0,48.7,12.93,7.6,57.4,48.2,1397.0,0
2019.0,98603.0,412.0,79.88,0.4941,93.99,39.92,8.0,0.111,24.0,47.6,59.2,70.1,26.62,46.0,48.6,73.4,623.0,0
2024.0,11140.0,6.0,97.96,0.3881,97.2,49.39,9.0,0.074,15.9,42.8,95.8,46.3,9.91,0.0,65.0,87.9,1434.0,0
2018.0,66603.0,275.0,90.18,0.4543,94.98,45.61,5.0,0.062,24.4,32.9,72.8,45.6,14.09,0.0,65.9,83.8,1140.0,0
2019.0,38832.0,118.0,87.61,0.57,91.92,64.02,1.0,0.158,7.0,47.1,67.9,36.7,23.67,32.1,72.5,68.8,575.0,0
2015.0,1606.0,214.0,99.8,0.4526,97.36,102.99,1.0,0.143,20.4,3.0,49.0,52.6,19.41,14.2,56.9,91.8,1449.0,0
2019.0,160444.0,233.0,84.44,0.4426,93.08,103.1,4.0,0.304,25.8,73.7,49.9,66.5,21.37,33.2,42.9,43.3,822.0,0
2016.0,80741.0,214.0,93.32,0.4431,98.2,69.4,3.0,0.327,12.1,22.5,69.0,48.9,10.62,21.1,61.7,84.8,1204.0,0
2020.0,168107.0,237.0,85.94,0.5567,95.72,88.76,6.0,0.391,41.7,87.5,75.1,53.4,16.82,61.0,56.1,24.6,1081.0,0
2024.0,20944.0,50.0,98.91,0.4185,96.14,64.77,9.0,0.27,23.7,75.5,95.1,48.3,15.45,39.2,66.6,84.0,1396.0,0
2016.0,3452.0,1.0,99.8,0.3776,97.98,61.22,5.0,0.11,1.1,3.0,57.2,49.9,10.79,15.9,60.5,100.0,1486.0,0
2015.0,78549.0,233.0,85.01,0.4488,96.15,64.02,2.0,0.676,12.4,28.1,60.4,54.1,24.14,74.1,59.1,48.2,1057.0,0
2021.0,145412.0,237.0,87.9,0.4912,97.52,87.61,4.0,0.294,36.8,95.6,80.9,51.0,12.14,26.6,56.9,63.8,1122.0,0
2023.0,20550.0,28.0,98.57,0.4599,94.78,91.29,1.0,0.104,17.8,31.3,79.2,60.8,5.52,38.0,55.1,83.0,767.0,0
2021.0,126972.0,390.0,74.91,0.6712,92.78,46.99,11.0,0.317,27.1,89.7,78.2,58.4,18.75,44.3,54.7,35.9,869.0,0
2024.0,40759.0,73.0,93.84,0.393,98.75,76.46,5.0,0.313,19.5,56.7,87.7,60.6,8.29,24.7,51.4,52.5,1046.0,0
2021.0,48195.0,179.0,86.53,0.4057,96.69,49.92,6.0,0.677,11.6,28.3,73.1,56.8,29.56,68.0,54.7,53.4,891.0,0
2018.0,73173.0,223.0,87.4,0.5063,95.15,52.47,4.0,0.319,12.3,35.7,77.0,46.2,13.41,59.2,68.6,25.3,1083.0,0
2024.0,20539.0,129.0,92.15,0.3977,97.23,79.21,4.0,0.294,14.1,38.3,95.1,57.1,20.25,40.4,55.3,73.4,1291.0,0
2021.0,103422.0,284.0,87.83,0.4626,95.85,74.77,2.0,0.194,20.3,69.0,76.2,49.7,10.08,31.6,56.2,72.1,1013.0,0
2015.0,79808.0,129.0,97.45,0.4211,97.76,92.13,1.0,0.068,11.4,26.0,55.7,54.2,13.45,44.5,61.4,75.9,1341.0,0
2015.0,26831.0,32.0,95.4,0.4431,97.28,90.46,1.0,0.143,3.0,8.0,47.7,48.5,29.59,46.1,65.3,76.1,1403.0,0
2018.0,66066.0,161.0,87.61,0.412,96.31,81.89,3.0,0.207,10.8,23.3,66.4,70.8,25.24,16.6,51.9,75.9,921.0,0
2024.0,25248.0,34.0,99.8,0.3421,94.79,77.26,2.0,0.194,16.6,39.0,78.4,43.1,7.12,21.5,68.7,53.8,1493.0,0
2020.0,73527.0,247.0,85.3,0.5097,96.55,49.34,5.0,0.437,14.6,42.0,93.3,58.2,19.57,43.0,67.6,27.9,1044.0,0
2020.0,78549.0,245.0,92.19,0.4236,96.44,84.45,1.0,0.059,29.2,53.5,88.8,54.3,15.75,0.0,63.0,78.1,1172.0,0
2018.0,12032.0,39.0,87.61,0.335,95.87,69.85,1.0,0.126,2.1,3.0,68.2,54.1,6.72,11.9,63.6,76.5,1456.0,0
2019.0,162334.0,330.0,75.08,0.5239,93.58,69.73,3.0,0.689,31.8,85.0,57.7,68.5,23.86,51.6,48.9,3.9,651.0,0
2015.0,32933.0,70.0,96.25,0.3602,95.7,77.87,1.0,0.11,3.1,9.1,63.1,69.1,10.67,10.5,60.8,59.9,1084.0,0
2017.0,166835.0,442.0,78.16,0.5308,93.12,55.66,5.0,0.163,26.8,66.5,54.0,62.4,31.42,18.5,56.9,38.8,788.0,0
2016.0,78549.0,2.0,99.64,0.4404,97.3,115.84,1.0,0.144,2.4,3.0,46.0,46.7,22.56,20.6,63.7,95.6,1509.0,0
2021.0,63496.0,200.0,89.11,0.456,95.02,80.51,5.0,0.161,21.2,34.7,78.4,62.7,12.34,17.4,50.0,75.5,909.0,0
2017.0,102567.0,184.0,89.09,0.4216,95.87,85.26,3.0,0.11,26.1,39.7,57.3,60.6,10.32,31.2,56.9,72.5,888.0,0
2016.0,126101.0,347.0,83.12,0.4983,94.49,59.59,2.0,0.319,22.4,43.0,60.6,55.5,22.03,14.9,59.1,53.3,927.0,0
2018.0,78549.0,48.0,97.99,0.3932,96.54,67.28,3.0,0.411,1.7,3.0,57.3,53.7,26.48,44.5,57.2,63.4,1472.0,0
2023.0,67582.0,108.0,95.9,0.4353,95.62,81.87,1.0,0.106,20.4,59.5,99.0,43.5,5.61,0.0,68.7,80.3,1311.0,0
2019.0,69449.0,122.0,87.61,0.5063,94.98,119.67,3.0,0.394,22.6,29.4,70.4,70.2,17.52,9.6,51.7,38.7,1006.0,0
2020.0,110440.0,168.0,89.2,0.5063,93.98,80.56,8.0,0.154,18.4,59.2,80.9,56.1,8.71,48.0,57.2,59.9,1170.0,0
2018.0,86611.0,393.0,80.34,0.5048,94.98,42.94,8.0,0.178,14.2,35.9,72.8,62.8,33.7,31.4,53.6,53.3,869.0,0
2017.0,154574.0,529.0,76.99,0.632,94.06,44.69,10.0,0.302,17.3,59.0,60.1,60.5,26.81,15.1,54.8,72.1,772.0,0
2024.0,24238.0,130.0,93.77,0.3827,97.02,50.7,4.0,0.401,11.1,31.2,94.2,48.2,10.29,21.9,64.9,51.5,1298.0,0
2017.0,64223.0,245.0,86.5,0.4301,93.0,42.93,2.0,0.068,6.4,20.0,75.2,69.4,10.92,18.8,51.8,70.6,825.0,0
2020.0,18637.0,91.0,97.19,0.38,95.68,46.87,2.0,0.141,4.9,10.8,88.4,48.8,14.66,8.8,62.7,97.2,1397.0,0
2020.0,96925.0,212.0,82.71,0.4792,92.71,69.56,2.0,0.511,15.9,50.7,74.6,72.5,21.72,50.1,49.9,43.6,809.0,0
2023.0,500.0,1.0,96.69,0.3811,99.02,76.42,3.0,0.403,1.5,3.0,90.4,50.4,8.73,61.1,67.8,77.5,1442.0,0
2023.0,500.0,1.0,99.8,0.3837,97.34,63.84,1.0,0.128,1.0,3.0,84.8,32.6,8.32,32.6,71.6,99.7,799.0,0
2018.0,33097.0,86.0,95.57,0.4193,97.46,83.65,1.0,0.194,3.4,11.5,65.3,55.0,25.43,31.6,56.9,66.9,1411.0,0
2022.0,78549.0,203.0,84.13,0.4706,95.56,66.39,8.0,0.596,47.1,63.6,75.8,52.6,20.02,44.6,56.8,2.0,1045.0,0
2018.0,125886.0,378.0,79.22,0.6136,94.97,64.02,5.0,0.182,38.6,54.4,72.8,75.1,26.36,24.8,40.3,24.9,887.0,0
2017.0,5314.0,37.0,99.16,0.4321,95.93,90.9,2.0,0.475,1.0,3.0,60.0,45.7,15.65,37.7,68.8,10.1,1481.0,0
2016.0,97410.0,214.0,79.56,0.4249,94.98,70.77,1.0,0.604,9.4,29.3,44.9,68.7,26.65,14.1,48.0,30.1,753.0,0
2023.0,6739.0,214.0,99.8,0.4326,94.98,68.57,3.0,0.444,17.4,25.3,83.8,39.4,8.39,20.7,60.4,58.0,1474.0,0
2016.0,158167.0,513.0,87.61,0.5522,95.05,50.87,4.0,0.152,32.4,50.4,65.5,60.6,22.69,7.0,56.0,95.5,759.0,0
2022.0,66447.0,198.0,91.37,0.4299,95.2,75.49,4.0,0.098,36.7,56.2,87.2,55.3,20.66,60.2,58.8,84.8,1176.0,0
2020.0,500.0,63.0,97.62,0.3936,98.35,76.7,1.0,0.15,1.0,3.0,77.9,53.8,13.78,34.7,55.8,90.1,1030.0,0
2021.0,36566.0,4.0,99.8,0.3364,96.46,84.75,1.0,0.315,11.1,28.4,85.0,54.4,5.29,18.7,62.4,83.4,1209.0,0
2017.0,62074.0,214.0,88.4,0.4927,95.54,43.28,2.0,0.279,7.7,26.1,72.8,48.4,5.96,32.4,56.9,59.1,1141.0,0
2021.0,15409.0,51.0,93.17,0.496,95.13,52.44,1.0,0.347,2.1,7.1,71.3,43.2,18.68,21.5,69.2,71.3,691.0,0
2016.0,127224.0,306.0,81.8,0.5651,92.83,64.02,4.0,0.487,18.1,41.5,43.7,68.6,28.45,41.5,46.7,56.7,940.0,0
2019.0,29212.0,204.0,86.5,0.5292,95.4,46.27,1.0,0.279,5.4,13.7,68.1,54.8,21.88,41.8,60.3,49.5,1159.0,0
2021.0,119476.0,407.0,75.99,0.5219,94.04,46.96,10.0,0.331,30.0,76.3,80.0,72.7,29.34,19.6,39.6,62.2,583.0,0
2024.0,78549.0,68.0,94.42,0.3584,95.69,96.54,6.0,0.344,16.7,57.8,98.6,60.2,11.95,35.5,54.8,30.5,1076.0,0
2018.0,104901.0,388.0,76.28,0.5149,92.29,37.66,7.0,0.155,31.0,41.7,64.2,79.0,25.31,26.8,56.9,35.7,604.0,0
2018.0,129770.0,395.0,80.68,0.5902,95.4,52.87,7.0,0.277,26.1,53.5,57.6,62.1,27.24,30.7,52.3,39.0,914.0,0
2019.0,154138.0,406.0,80.97,0.5781,93.03,57.92,3.0,0.448,23.3,72.0,75.5,53.5,22.15,41.7,55.2,0.0,833.0,0
2023.0,48640.0,214.0,87.76,0.4401,96.16,46.03,7.0,0.129,17.8,40.1,80.6,69.3,25.48,0.0,52.1,69.1,917.0,0
2023.0,41078.0,122.0,85.07,0.5903,96.65,60.34,3.0,0.268,26.5,35.4,86.1,48.9,18.33,21.4,70.9,62.3,572.0,0
2018.0,8286.0,13.0,99.8,0.3959,97.67,78.62,1.0,0.244,1.9,3.0,61.4,61.6,14.53,0.0,53.9,82.1,1153.0,0
2019.0,26676.0,72.0,96.39,0.4017,97.73,90.93,4.0,0.514,20.4,15.5,65.2,66.1,13.08,68.6,49.0,69.8,1118.0,0
2019.0,59505.0,199.0,90.62,0.4443,97.41,46.39,5.0,0.135,20.4,32.7,85.3,53.8,10.99,4.7,59.3,100.0,1184.0,0
2024.0,25284.0,1.0,99.8,0.3755,96.16,70.58,3.0,0.287,9.5,26.6,78.3,41.9,10.83,0.0,62.6,54.5,1488.0,0
2023.0,2996.0,41.0,99.8,0.3735,94.48,76.4,1.0,0.172,20.4,7.7,81.6,53.3,20.02,20.6,62.8,67.7,1430.0,0
2020.0,92465.0,248.0,82.42,0.5246,92.74,48.8,2.0,0.535,25.1,43.1,67.1,53.8,30.2,33.2,57.0,40.1,1025.0,0
2018.0,54561.0,214.0,91.79,0.4773,96.77,58.76,3.0,0.137,11.6,22.7,62.6,59.3,21.08,0.0,49.1,79.4,1274.0,0
2024.0,49865.0,174.0,90.87,0.4524,98.02,80.52,3.0,0.217,37.9,79.3,83.7,50.2,13.27,15.0,57.9,44.6,1188.0,0
2019.0,223720.0,309.0,85.09,0.5004,94.61,103.74,4.0,0.351,36.0,106.5,82.5,55.9,21.18,43.9,56.9,18.0,987.0,0
2018.0,9361.0,29.0,99.49,0.3224,98.25,98.8,5.0,0.236,1.2,3.0,72.0,63.2,10.72,29.9,52.5,100.0,1168.0,0
2021.0,56438.0,128.0,93.25,0.411,97.74,76.57,4.0,0.227,15.8,49.6,78.0,55.1,12.5,32.3,63.4,96.5,1301.0,0
2024.0,7166.0,1.0,99.8,0.3973,98.25,81.88,4.0,0.361,24.7,41.1,83.7,46.2,3.78,10.3,61.9,42.6,1522.0,0
2017.0,78549.0,69.0,91.88,0.5063,96.95,58.19,1.0,0.563,1.0,3.0,58.1,59.1,15.66,33.2,48.3,21.9,1008.0,0
2017.0,64844.0,153.0,93.57,0.4309,95.12,59.51,4.0,0.17,11.6,31.1,60.8,60.3,24.5,7.8,54.8,84.5,1310.0,0
2017.0,38675.0,83.0,89.65,0.4974,96.57,78.56,5.0,0.102,12.7,18.9,71.0,40.0,10.22,0.0,76.0,82.8,628.0,0
2023.0,78549.0,95.0,98.08,0.3657,95.61,93.3,1.0,0.212,18.7,26.3,84.7,51.9,20.3,35.1,56.5,69.7,1403.0,0
2016.0,78549.0,150.0,92.16,0.3657,94.31,64.5,4.0,0.319,6.6,12.3,55.6,60.4,13.53,11.1,58.1,52.4,963.0,0
2021.0,106946.0,253.0,87.91,0.4971,93.91,79.43,4.0,0.29,36.0,73.2,67.5,52.3,18.68,22.7,67.1,51.9,1104.0,0
2022.0,124779.0,332.0,78.13,0.5965,93.18,52.62,11.0,0.698,36.9,106.2,77.4,58.1,21.25,63.4,55.8,0.0,908.0,0
2020.0,95880.0,432.0,81.09,0.5471,94.26,41.5,7.0,0.479,32.5,56.0,72.0,57.9,22.17,33.2,61.0,29.6,851.0,0
2024.0,45516.0,115.0,83.23,0.5497,96.31,66.12,5.0,0.119,50.4,83.8,90.6,50.1,18.15,32.1,63.0,63.3,548.0,0
2019.0,98130.0,233.0,92.15,0.4557,97.38,58.55,4.0,0.125,20.4,41.8,71.6,43.3,17.34,0.0,58.8,73.0,1207.0,0
2024.0,14125.0,73.0,96.41,0.3622,98.55,74.35,2.0,0.523,9.2,24.7,84.0,74.0,10.88,61.6,42.5,32.7,1103.0,0
2024.0,32470.0,147.0,95.92,0.3954,94.98,63.22,5.0,0.366,13.0,44.7,100.0,52.7,11.63,23.4,62.4,73.6,1299.0,0
2024.0,32118.0,119.0,98.51,0.4125,97.16,74.17,4.0,0.362,21.5,47.1,92.0,50.3,11.79,19.0,67.6,52.2,1326.0,0
2024.0,1599.0,1.0,99.8,0.3123,96.72,64.16,5.0,0.122,5.1,15.7,94.1,56.6,22.76,37.5,56.2,92.7,1175.0,0
2021.0,66383.0,173.0,90.2,0.5009,95.25,61.54,3.0,0.119,13.6,47.2,86.9,52.3,7.41,17.9,70.9,69.2,1291.0,0
2017.0,58166.0,86.0,93.87,0.4471,95.0,68.94,4.0,0.292,15.6,23.8,75.2,43.2,12.06,5.7,63.3,73.4,1335.0,0
2022.0,91761.0,307.0,81.08,0.5145,95.28,56.86,6.0,0.319,28.6,81.7,86.0,55.1,17.05,31.6,54.4,52.1,987.0,0
2024.0,7603.0,61.0,90.96,0.5059,95.25,91.85,3.0,0.431,20.4,9.6,94.0,38.8,13.0,35.4,66.7,41.1,653.0,0
2023.0,51717.0,168.0,88.74,0.4085,96.19,59.59,4.0,0.154,35.0,75.4,88.6,73.9,17.79,13.6,45.6,82.4,895.0,0
2015.0,122724.0,215.0,89.19,0.4756,92.11,64.02,4.0,0.109,14.6,33.2,56.1,42.6,11.66,16.6,70.8,53.0,1138.0,0
2022.0,54161.0,134.0,96.72,0.4236,95.87,96.74,1.0,0.355,30.6,41.5,95.7,45.0,4.37,40.0,59.9,52.7,1316.0,0
2015.0,38992.0,289.0,84.81,0.5485,96.7,28.31,1.0,0.13,4.3,10.7,44.0,57.1,27.69,50.6,59.1,94.4,981.0,0
2021.0,88476.0,242.0,83.01,0.4171,93.4,65.87,5.0,0.201,16.2,55.0,85.6,65.5,12.21,35.9,54.9,38.6,813.0,0
2024.0,27571.0,55.0,94.95,0.451,95.91,35.17,12.0,0.099,19.1,53.9,87.8,46.0,13.18,3.8,61.9,95.5,1445.0,0
2021.0,127353.0,160.0,92.07,0.4538,95.25,97.01,3.0,0.469,31.5,79.4,73.7,53.8,19.53,28.4,55.3,67.3,1248.0,0
2021.0,77199.0,276.0,81.03,0.5048,94.86,45.07,6.0,0.518,26.2,54.8,71.7,53.3,23.01,41.1,57.2,30.4,945.0,0
2023.0,14733.0,27.0,97.66,0.3808,99.47,95.74,1.0,0.192,13.1,29.1,75.3,55.5,15.38,18.4,58.3,93.7,1413.0,0
2023.0,500.0,12.0,99.8,0.3541,96.27,70.21,4.0,0.269,1.8,3.0,85.8,47.7,9.12,10.7,62.8,70.0,1483.0,0
2018.0,101081.0,293.0,85.88,0.5042,92.22,57.83,5.0,0.069,14.9,42.5,74.3,50.1,12.33,11.1,67.1,73.9,1026.0,0
2022.0,2891.0,36.0,99.8,0.3458,97.81,61.04,4.0,0.161,1.3,4.4,82.8,51.2,17.1,1.8,63.7,52.1,1451.0,0
2024.0,52642.0,232.0,87.98,0.4571,94.04,35.64,11.0,0.16,20.3,67.9,92.9,53.2,16.79,26.8,61.6,56.5,1088.0,0
