vehicle_id,manufacturing_year,odometer_km,cycle_count,battery_health_percent,internal_resistance,charge_efficiency,remaining_capacity,charging_cycles_last_month,fast_charge_ratio,average_trip_distance,daily_distance,cooling_system_health,thermal_runaway_risk,voltage_imbalance,battery_stress_index,thermal_health_score,charging_quality_score,predicted_remaining_life_cycles,battery_failure,BMS_warning_count,capacity_loss_percent,vehicle_age_years
EV279969,2024.0,39985.0,38.0,99.8,0.4009,94.98,75.28,7.0,0.301,23.8,71.3,83.4,46.4,7.62,12.3,69.4,41.9,1533.0,0,2.0,0.2,2.15
EV295112,2020.0,78549.0,214.0,92.57,0.5063,93.6,71.37,3.0,0.247,14.5,26.0,66.0,61.4,23.46,20.7,48.0,57.9,980.0,0,2.0,7.43,6.08
EV214289,2023.0,63980.0,93.0,87.82,0.5458,93.8,102.14,2.0,0.095,26.4,74.8,88.4,78.3,8.23,57.4,44.3,24.3,996.0,0,3.0,12.18,2.89
EV221403,2016.0,167231.0,541.0,72.34,0.6401,94.02,51.32,10.0,0.4,21.1,62.5,62.1,62.9,28.03,9.7,49.6,64.7,709.0,0,4.0,27.66,9.96
EV243571,2021.0,75174.0,263.0,74.49,0.6793,90.16,36.08,5.0,0.439,22.0,52.8,78.2,66.3,11.47,97.1,51.1,0.0,885.0,1,3.0,25.51,4.88
EV243419,2020.0,30138.0,41.0,97.89,0.3631,95.84,100.98,4.0,0.567,18.4,57.1,89.6,61.2,17.89,45.0,46.8,31.8,1124.0,0,4.0,2.11,1.65
EV218263,2020.0,22648.0,27.0,93.86,0.3492,97.48,64.37,7.0,0.106,18.2,47.3,86.1,66.3,13.65,35.5,51.3,100.0,1160.0,0,0.0,6.14,1.9
EV107790,2017.0,15159.0,31.0,96.64,0.4297,96.87,36.41,4.0,0.25,1.3,4.3,56.1,45.8,18.33,33.6,59.7,88.3,1375.0,0,2.0,3.36,8.83
EV293753,2017.0,13661.0,100.0,95.2,0.4315,94.97,49.29,4.0,0.133,2.3,3.0,75.4,51.8,5.92,17.2,61.4,67.0,1341.0,0,1.0,4.8,9.08
EV184138,2018.0,113234.0,274.0,88.07,0.4919,94.91,65.46,4.0,0.17,12.2,42.5,76.0,50.1,20.66,13.7,66.4,57.8,1006.0,0,3.0,11.93,7.99
EV209518,2023.0,7844.0,1.0,99.8,0.3945,98.07,41.64,1.0,0.157,2.0,3.0,84.1,46.9,12.05,32.9,63.6,96.6,1030.0,0,2.0,0.2,2.83
EV229606,2019.0,134137.0,460.0,87.61,0.5606,94.74,50.39,9.0,0.54,22.7,68.6,64.4,63.0,21.61,39.7,53.1,34.3,792.0,0,0.0,24.76,7.13
EV189293,2019.0,176435.0,427.0,62.2,0.7471,93.84,64.02,8.0,0.151,47.6,83.5,60.6,59.7,38.44,21.2,55.8,35.3,244.0,1,3.0,,7.18
EV292804,2020.0,78549.0,157.0,93.19,0.4617,94.13,90.39,8.0,0.183,29.1,67.8,83.6,50.8,13.57,24.1,60.8,75.9,1245.0,0,3.0,6.81,2.1
EV239774,2022.0,17758.0,88.0,97.46,0.343,96.33,85.05,3.0,0.319,4.2,11.0,71.1,52.8,20.8,7.5,57.4,78.5,1391.0,0,2.0,2.54,4.18
EV116989,2023.0,500.0,214.0,99.8,0.3651,95.48,47.81,1.0,0.464,1.0,3.0,83.1,39.6,6.14,48.3,76.6,35.3,1484.0,0,1.0,0.2,3.01
EV160524,2016.0,81512.0,183.0,81.12,0.6005,96.68,85.79,2.0,0.215,9.5,26.9,57.2,56.8,22.23,42.2,51.5,77.7,500.0,0,3.0,18.88,10.22
EV100414,2019.0,228704.0,550.0,74.32,0.5515,91.3,61.88,12.0,0.645,32.1,102.8,52.2,53.8,25.89,47.6,52.5,11.0,679.0,0,1.0,25.68,7.06
EV228310,2020.0,78549.0,191.0,86.5,0.4998,95.91,56.35,3.0,0.084,19.6,44.3,93.4,48.2,13.51,75.8,67.5,78.3,1145.0,0,3.0,13.5,2.17
EV187576,2019.0,83310.0,191.0,91.8,0.4401,93.6,75.49,1.0,0.153,19.6,37.5,63.9,59.3,29.57,1.0,49.0,90.4,1244.0,0,6.0,8.2,6.82
EV101523,2020.0,125179.0,223.0,77.93,0.6243,92.63,98.11,2.0,0.319,20.7,64.3,81.0,55.8,26.69,18.3,64.2,77.9,441.0,0,4.0,22.07,5.87
EV100601,2021.0,78549.0,214.0,92.83,0.5063,95.58,41.01,3.0,0.213,14.2,42.4,93.8,49.0,17.08,34.2,60.3,44.1,1219.0,0,1.0,7.17,5.02
EV111974,2021.0,49777.0,324.0,76.01,0.5063,94.11,21.69,3.0,0.32,13.8,28.9,73.7,76.3,20.63,4.7,51.6,56.9,632.0,0,4.0,23.99,4.92
EV154997,2017.0,214615.0,463.0,78.69,0.5819,95.14,65.44,3.0,0.134,30.3,80.6,52.9,55.6,25.9,23.6,60.3,78.8,847.0,0,3.0,21.31,8.97
EV152287,2021.0,45424.0,93.0,94.33,0.4402,94.4,81.42,1.0,0.298,21.3,32.6,72.8,59.6,16.4,56.7,53.0,62.1,1032.0,0,3.0,5.67,5.15
EV273995,2018.0,186345.0,449.0,76.5,0.6512,93.06,63.55,9.0,0.59,31.6,80.2,57.1,62.3,29.76,56.0,52.9,7.1,753.0,0,2.0,23.5,7.94
EV221656,2021.0,137081.0,216.0,88.35,0.4625,94.33,84.71,5.0,0.262,51.3,87.7,77.1,55.3,14.94,9.7,64.0,39.8,1156.0,0,2.0,11.65,5.27
EV128812,2022.0,114141.0,273.0,79.64,0.5185,94.48,69.26,3.0,0.323,31.6,101.2,87.3,58.4,12.6,36.2,52.8,47.9,765.0,0,0.0,20.36,3.88
EV210299,2017.0,25140.0,10.0,96.71,0.4788,96.34,64.02,4.0,0.562,2.1,3.0,60.7,69.8,8.57,57.8,42.3,43.7,1418.0,0,1.0,3.29,8.92
EV135203,2019.0,120541.0,256.0,86.4,0.4553,95.99,86.09,6.0,0.416,21.5,57.7,68.3,54.2,8.93,44.8,59.7,33.2,1071.0,0,2.0,13.6,6.9
EV103438,2023.0,66871.0,110.0,91.64,0.402,98.38,81.45,7.0,0.432,36.8,64.9,95.8,64.7,6.97,38.1,52.3,55.2,991.0,0,3.0,8.36,3.02
EV266563,2018.0,65312.0,165.0,86.06,0.4723,95.7,64.6,4.0,0.38,20.4,32.1,62.4,70.5,24.71,30.8,45.7,36.2,892.0,0,3.0,13.94,7.91
EV168208,2024.0,34403.0,8.0,99.8,0.411,95.82,95.01,6.0,0.513,12.2,41.6,94.0,53.6,7.66,28.5,55.6,17.1,1460.0,0,1.0,0.2,1.75
EV290506,2021.0,62616.0,141.0,86.03,0.4665,95.35,89.81,3.0,0.412,15.1,42.1,75.8,59.6,18.33,43.3,56.4,59.8,1170.0,0,5.0,13.97,4.85
EV102209,2016.0,195519.0,389.0,79.15,0.5693,94.34,64.02,4.0,0.471,23.7,63.2,54.7,61.6,26.77,32.4,54.5,47.4,871.0,0,1.0,20.85,9.76
EV119711,2017.0,126848.0,230.0,84.67,0.5956,94.08,96.65,3.0,0.192,34.0,47.1,46.9,64.6,28.7,50.4,50.3,44.3,1093.0,0,2.0,15.33,9.1
EV200817,2017.0,96395.0,397.0,81.83,0.561,94.13,38.02,7.0,0.269,10.0,34.5,76.3,58.9,18.65,0.0,54.0,66.7,870.0,0,4.0,18.17,9.08
EV117334,2021.0,95196.0,238.0,87.15,0.4217,95.64,72.5,4.0,0.267,32.0,57.2,83.8,74.0,18.41,29.0,39.6,51.5,822.0,0,1.0,12.85,5.14
EV187617,2024.0,45604.0,110.0,87.61,0.4578,93.36,80.9,2.0,0.298,12.8,39.3,92.8,53.7,13.05,34.8,56.9,52.5,1322.0,0,1.0,3.69,1.99
EV230403,2023.0,37834.0,215.0,86.95,0.5063,95.25,42.86,4.0,0.474,12.5,41.2,100.0,55.3,14.06,39.5,53.7,77.6,1104.0,0,,13.05,3.04
EV131012,2017.0,78549.0,889.0,54.1,0.6746,90.03,34.67,10.0,0.461,35.8,102.9,51.5,85.6,43.2,40.5,27.1,52.1,140.0,1,2.0,45.9,
EV135887,2018.0,212037.0,437.0,73.88,0.5638,92.89,71.6,5.0,0.267,30.1,89.0,69.5,75.2,23.74,25.0,39.6,26.9,1030.0,0,0.0,26.12,7.99
EV162100,2020.0,107326.0,279.0,82.23,0.6086,94.77,77.26,6.0,0.477,25.5,73.4,76.2,51.0,20.03,29.4,59.0,27.2,982.0,0,4.0,17.77,5.23
EV278251,2023.0,1893.0,39.0,94.05,0.418,97.6,76.62,1.0,0.468,1.2,3.0,87.5,59.6,15.71,50.5,53.5,57.0,1071.0,0,1.0,5.95,2.91
EV239906,2018.0,70236.0,205.0,88.31,0.5532,95.49,54.89,1.0,0.188,17.2,29.3,66.5,59.3,18.0,33.2,51.2,48.7,1127.0,0,4.0,11.69,7.67
EV144691,2016.0,289905.0,629.0,62.5,0.7249,91.84,62.06,5.0,0.627,54.2,98.3,51.0,76.2,40.45,62.1,36.5,12.3,536.0,1,5.0,37.5,10.14
EV136852,2016.0,212711.0,538.0,75.79,0.6034,94.66,71.17,7.0,0.203,21.0,66.8,52.9,61.0,31.74,20.0,50.9,57.1,738.0,0,6.0,24.21,
EV198033,2021.0,79547.0,170.0,78.39,0.635,94.41,72.84,5.0,0.06,20.9,59.7,89.8,56.8,13.48,30.4,64.0,68.5,491.0,0,1.0,21.61,5.2
EV213882,2017.0,159305.0,433.0,70.84,0.5261,91.07,55.26,7.0,0.524,38.7,55.5,64.8,79.1,35.38,25.0,41.1,26.7,554.0,0,2.0,29.16,9.04
EV150700,2021.0,6990.0,59.0,94.7,0.5031,98.06,104.86,1.0,0.413,1.0,3.0,89.2,44.7,7.57,28.6,58.7,52.4,685.0,0,1.0,5.3,5.1
EV271484,2020.0,126001.0,337.0,80.85,0.5489,92.46,58.69,7.0,0.358,42.8,75.6,63.2,45.5,30.43,58.3,58.7,39.7,930.0,0,2.0,19.15,5.96
EV142326,2023.0,27048.0,8.0,99.8,0.3732,97.18,89.57,1.0,0.176,8.1,47.1,96.4,62.9,8.43,23.1,57.0,71.4,1178.0,0,2.0,0.2,2.79
EV263120,2020.0,144913.0,556.0,60.56,0.8882,87.25,38.54,13.0,0.88,27.1,82.6,69.3,77.7,29.87,65.6,47.8,0.0,552.0,1,3.0,,
EV190280,2022.0,78549.0,159.0,92.33,0.4809,95.92,49.73,9.0,0.142,30.1,57.9,72.8,52.6,18.41,11.8,68.3,100.0,1230.0,0,2.0,7.67,3.96
EV209732,2021.0,21687.0,68.0,99.8,0.3901,98.27,95.86,3.0,0.133,11.7,21.2,79.8,52.7,6.11,12.7,54.3,75.2,1435.0,0,1.0,0.2,4.92
EV157879,2016.0,134270.0,392.0,73.95,0.5197,93.63,49.01,5.0,0.303,33.2,46.7,75.3,66.2,15.64,7.9,46.4,65.1,666.0,0,2.0,26.05,9.76
EV274055,2021.0,63597.0,180.0,95.02,0.4371,96.36,79.85,6.0,0.319,20.4,58.1,71.1,56.9,13.35,4.3,57.1,69.6,1229.0,0,4.0,4.98,5.05
EV163719,2022.0,137624.0,494.0,74.13,0.5734,94.62,47.95,15.0,0.634,66.6,124.7,74.3,68.1,31.11,59.8,46.7,22.6,743.0,1,5.0,25.87,4.06
EV199662,2020.0,58841.0,216.0,87.34,0.4586,95.87,84.57,1.0,0.195,12.2,30.7,90.1,56.9,18.88,33.0,57.3,65.0,1122.0,0,2.0,12.66,6.0
EV167896,2020.0,37510.0,56.0,92.91,0.4097,94.98,85.23,3.0,0.105,20.4,47.1,81.0,72.9,12.5,52.5,43.4,63.0,1078.0,0,2.0,7.09,5.9
EV134840,2019.0,68536.0,188.0,88.19,0.5063,95.53,49.57,5.0,0.233,10.8,37.6,68.9,67.3,18.26,20.9,56.0,81.5,914.0,0,2.0,11.81,6.85
EV223246,2017.0,266645.0,916.0,29.39,1.3375,94.98,17.67,9.0,0.39,40.2,98.7,64.5,87.3,52.76,100.0,31.4,0.0,0.0,1,12.0,70.61,
EV229843,2018.0,93619.0,165.0,92.65,0.4421,94.4,79.15,3.0,0.52,20.4,32.8,53.5,49.0,23.7,42.9,65.6,7.7,1202.0,0,1.0,7.35,7.83
EV123984,2021.0,26864.0,100.0,82.81,0.5377,95.31,51.94,4.0,0.583,12.4,23.0,62.6,48.7,25.72,37.7,64.7,56.7,561.0,0,1.0,17.19,4.82
EV245311,2015.0,89757.0,181.0,90.98,0.4205,95.02,91.52,2.0,0.47,12.0,28.2,57.3,56.8,18.29,10.8,64.6,51.9,1238.0,0,5.0,9.02,10.87
EV254124,2018.0,119309.0,257.0,81.64,0.6577,92.51,73.57,3.0,0.351,34.5,48.9,60.6,73.8,28.5,40.2,41.7,53.2,1017.0,0,2.0,18.36,8.09
EV276473,2021.0,68908.0,165.0,85.96,0.5279,94.19,82.48,4.0,0.549,16.9,45.9,92.8,42.0,18.8,26.9,66.7,30.8,1163.0,0,3.0,14.04,4.96
EV203022,2015.0,103947.0,302.0,74.5,0.5494,93.79,59.82,1.0,0.313,13.9,35.7,37.0,80.3,33.31,30.2,36.1,45.5,687.0,1,2.0,25.5,11.01
EV196029,2017.0,122727.0,372.0,74.23,0.4773,95.89,43.48,5.0,0.356,13.8,46.1,67.1,66.5,28.72,32.4,48.1,71.9,569.0,0,3.0,25.77,9.05
EV238169,2017.0,16648.0,5.0,99.8,0.2923,97.91,68.57,1.0,0.271,2.6,6.4,66.1,55.6,17.22,15.0,59.2,93.9,1190.0,0,3.0,0.2,9.13
EV131306,2018.0,97833.0,400.0,87.61,0.5574,94.98,37.52,11.0,0.317,13.0,47.1,71.5,57.2,17.76,41.9,56.9,46.3,888.0,0,1.0,21.33,7.79
EV238010,2021.0,109091.0,281.0,86.32,0.4907,95.46,81.31,5.0,0.319,25.2,55.8,88.6,54.9,14.0,71.0,54.2,45.0,1030.0,0,5.0,13.68,5.12
EV213826,2024.0,11066.0,29.0,97.14,0.3658,94.98,94.21,4.0,0.356,4.3,14.6,98.5,48.4,5.3,33.2,63.1,23.6,1408.0,0,1.0,2.86,2.05
EV296104,2023.0,26375.0,108.0,95.95,0.3989,97.01,70.51,4.0,0.268,13.8,21.1,92.8,47.3,6.49,16.4,58.8,72.4,1354.0,0,1.0,4.05,2.93
EV163746,2022.0,72894.0,223.0,93.13,0.4561,98.63,55.93,7.0,0.228,22.9,47.1,76.2,45.5,17.7,29.2,63.1,71.3,1185.0,0,3.0,6.87,4.17
EV171507,2018.0,178482.0,489.0,74.11,0.6161,95.57,52.37,8.0,0.848,40.9,80.5,77.6,58.8,18.58,65.6,55.6,18.6,732.0,1,1.0,,7.78
EV259575,2015.0,81314.0,374.0,83.21,0.5115,95.46,41.85,4.0,0.385,10.4,22.2,53.0,55.7,22.26,28.4,61.5,68.4,907.0,0,4.0,16.79,11.12
EV273272,2023.0,1295.0,1.0,97.22,0.4091,96.93,73.19,2.0,0.31,1.0,3.0,79.6,44.9,13.06,18.1,59.5,67.2,1457.0,0,5.0,2.78,3.06
EV181802,2022.0,33956.0,102.0,95.95,0.3753,94.3,44.67,3.0,0.341,20.4,23.2,75.6,63.0,7.46,36.5,46.8,31.5,1070.0,0,,4.05,4.04
EV214886,2020.0,16898.0,14.0,98.62,0.4247,94.98,88.34,1.0,0.41,1.7,4.5,62.8,41.5,17.42,15.9,74.3,69.6,778.0,0,3.0,1.38,10.18
EV280924,2016.0,190260.0,420.0,77.96,0.5392,94.36,72.23,6.0,0.406,18.6,58.8,67.0,60.4,29.73,18.4,61.6,53.4,852.0,0,2.0,22.04,10.08
EV196383,2022.0,74925.0,145.0,89.97,0.5063,94.13,85.3,7.0,0.203,26.3,60.5,75.9,50.4,15.29,30.2,65.0,60.5,1223.0,0,5.0,10.03,4.15
EV173754,2016.0,197493.0,587.0,69.46,0.6198,93.61,45.95,7.0,0.599,23.2,65.6,47.2,68.5,36.64,46.4,47.9,0.0,618.0,1,2.0,30.54,9.95
EV283713,2021.0,37674.0,116.0,96.2,0.4214,95.37,69.19,3.0,0.178,19.8,33.2,85.4,48.5,10.78,40.3,64.6,63.3,1343.0,0,,3.8,4.85
EV241526,2023.0,25669.0,53.0,97.57,0.4341,96.57,64.02,4.0,0.354,10.5,29.0,88.2,44.8,17.11,44.1,65.2,52.1,1393.0,0,4.0,2.43,3.1
EV198716,2021.0,15836.0,106.0,97.65,0.31,96.32,72.45,2.0,0.249,11.5,17.8,73.0,61.9,15.97,33.8,50.8,58.3,1059.0,0,2.0,2.35,4.95
EV226292,2020.0,14269.0,35.0,99.8,0.3408,97.0,45.47,1.0,0.238,6.2,7.9,87.8,44.2,6.06,15.6,63.4,16.9,1430.0,0,0.0,0.2,4.07
EV146943,2021.0,95860.0,224.0,85.53,0.421,94.96,71.16,6.0,0.017,37.2,59.1,86.2,64.2,14.9,5.1,50.8,91.3,809.0,0,3.0,14.47,5.01
EV192452,2015.0,219636.0,925.0,47.28,0.6988,88.68,22.0,9.0,0.518,29.9,62.4,58.9,81.0,34.08,32.2,33.7,21.0,124.0,1,5.0,52.72,10.9
EV192166,2018.0,19030.0,60.0,99.2,0.3042,94.47,84.98,2.0,0.099,4.3,8.0,78.3,58.6,6.27,0.0,55.2,64.5,1129.0,0,0.0,0.8,8.07
EV132285,2024.0,42651.0,174.0,89.46,0.4624,92.81,54.81,6.0,0.426,27.7,45.7,90.3,54.6,8.6,35.9,55.4,39.5,1158.0,0,3.0,10.54,2.32
EV204024,2017.0,117200.0,185.0,77.68,0.6612,94.57,95.34,1.0,0.286,20.3,39.2,71.8,58.5,15.01,56.2,59.5,35.5,469.0,0,1.0,22.32,8.99
EV192165,2023.0,49947.0,126.0,86.28,0.5015,93.95,80.85,2.0,0.336,13.5,47.1,90.2,54.1,9.04,47.1,64.0,52.7,565.0,0,4.0,13.72,3.17
EV247585,2022.0,108767.0,155.0,94.81,0.4386,95.15,88.57,8.0,0.238,32.2,98.0,83.6,51.6,11.14,31.2,57.2,31.4,1304.0,0,0.0,5.19,3.84
EV269457,2016.0,142402.0,400.0,77.12,0.5852,94.9,53.34,3.0,0.22,14.9,44.9,56.1,59.8,25.95,26.1,63.7,62.7,902.0,0,4.0,22.88,10.01
EV105830,2015.0,35843.0,62.0,99.8,0.3548,97.66,89.79,5.0,0.124,3.6,8.0,60.9,56.8,10.04,35.9,63.0,85.8,1441.0,0,0.0,0.2,10.86
EV259784,2024.0,10375.0,8.0,99.8,0.3463,97.13,63.56,5.0,0.112,7.8,19.6,88.9,63.3,10.46,0.0,52.5,90.1,1202.0,0,3.0,0.2,2.21
EV272183,2016.0,229663.0,508.0,66.6,0.5354,94.98,61.34,1.0,0.291,20.4,79.6,73.9,75.5,25.84,31.1,38.7,54.5,482.0,0,1.0,33.4,9.91
EV232594,2020.0,337865.0,727.0,46.31,0.9544,89.82,43.64,12.0,0.612,49.8,126.3,55.0,72.7,49.41,40.5,48.5,24.2,49.0,1,3.0,53.69,9.2
EV175810,2022.0,63728.0,203.0,89.38,0.4346,96.69,56.0,2.0,0.525,21.2,51.0,94.5,46.7,11.17,28.3,67.0,38.5,1126.0,0,3.0,10.62,3.97
EV293264,2024.0,8650.0,2.0,99.8,0.4643,97.54,42.29,2.0,0.319,24.2,31.3,95.4,37.7,10.41,25.4,69.1,40.7,1522.0,0,1.0,0.2,1.86
EV253340,2017.0,303277.0,882.0,63.15,0.7091,93.92,41.58,11.0,0.405,47.7,115.5,62.3,69.3,32.5,49.2,55.8,21.2,345.0,1,2.0,36.85,8.94
EV206375,2023.0,23225.0,1.0,99.8,0.423,94.3,90.35,1.0,0.267,22.9,39.9,83.8,61.3,8.01,44.9,51.2,72.1,1485.0,0,5.0,0.2,2.62
EV171443,2020.0,51193.0,112.0,92.5,0.4046,97.37,80.94,1.0,0.319,8.9,25.3,81.3,67.1,22.2,51.1,50.0,76.5,990.0,0,1.0,7.5,6.08
EV166337,2018.0,206206.0,699.0,56.83,0.669,88.75,34.06,8.0,0.567,48.1,82.0,69.0,56.8,30.92,74.2,32.4,0.0,302.0,1,1.0,43.17,8.25
EV123926,2022.0,14172.0,58.0,99.6,0.3899,95.27,95.38,1.0,0.443,1.3,3.0,73.7,42.4,2.08,22.6,64.3,45.0,1397.0,0,1.0,0.4,4.16
EV144994,2024.0,28394.0,108.0,94.97,0.387,96.03,56.86,6.0,0.542,9.6,28.2,100.0,43.1,12.86,17.7,64.2,31.9,1347.0,0,2.0,5.03,2.01
EV175718,2016.0,10851.0,41.0,95.07,0.3767,96.81,82.76,1.0,0.722,1.2,3.0,47.1,34.0,14.2,27.5,70.7,20.4,1405.0,0,2.0,4.93,9.77
EV119771,2017.0,176442.0,691.0,64.08,0.6273,92.15,37.42,7.0,0.286,22.6,64.2,55.1,77.3,45.9,41.1,43.6,71.5,343.0,1,4.0,35.92,9.11
EV248204,2020.0,122592.0,324.0,83.2,0.5272,93.54,62.77,4.0,0.392,30.1,72.5,78.7,45.7,12.56,6.8,56.2,31.5,996.0,0,0.0,,5.64
EV128211,2015.0,129612.0,346.0,85.22,0.5227,95.71,66.3,5.0,0.076,12.8,38.2,48.5,53.6,26.06,0.0,61.7,79.6,994.0,0,2.0,14.78,10.98
EV219369,2016.0,202489.0,621.0,68.83,0.6657,94.98,46.2,8.0,0.524,25.9,66.3,68.4,67.8,20.21,49.3,43.5,4.0,592.0,1,2.0,31.17,9.96
EV275350,2022.0,36789.0,118.0,93.42,0.427,95.5,64.02,4.0,0.561,7.7,25.6,77.6,43.9,10.8,28.0,62.1,41.5,1240.0,0,5.0,6.58,4.19
EV157453,2023.0,41800.0,293.0,86.48,0.4569,94.38,27.44,5.0,0.319,22.5,42.6,84.1,56.2,26.85,51.8,56.2,56.1,1054.0,0,,13.52,2.91
EV192272,2016.0,249482.0,786.0,63.43,0.6791,90.57,42.28,8.0,0.246,56.2,85.1,56.6,59.8,40.19,45.4,49.7,19.6,397.0,1,2.0,36.57,10.17
EV103515,2016.0,136709.0,468.0,76.45,0.6236,93.33,50.11,3.0,0.459,15.5,45.6,49.6,59.1,31.02,12.7,57.2,44.9,752.0,0,1.0,23.55,9.79
EV204851,2020.0,500.0,62.0,98.86,0.429,96.91,87.36,1.0,0.551,1.7,3.0,68.4,48.1,13.39,18.2,65.6,17.8,1410.0,0,2.0,1.14,5.93
EV140305,2023.0,4697.0,19.0,99.8,0.3646,98.9,64.06,5.0,0.047,10.8,27.8,81.3,68.1,4.35,0.0,44.4,93.8,1186.0,0,2.0,0.2,2.86
EV128932,2023.0,37595.0,38.0,99.8,0.5063,96.28,84.22,1.0,0.121,23.3,37.5,84.7,51.9,9.12,26.4,53.5,75.8,1428.0,0,,0.2,2.99
EV201164,2017.0,222627.0,429.0,79.46,0.5327,92.0,73.65,7.0,0.199,48.3,78.0,69.9,62.2,26.42,49.1,48.1,54.0,872.0,0,2.0,20.54,9.37
EV204523,2022.0,91309.0,211.0,87.28,0.516,95.19,80.2,5.0,0.21,47.4,81.8,77.6,52.4,23.68,40.5,60.7,33.1,1123.0,0,6.0,12.72,3.99
EV109762,2021.0,3567.0,22.0,99.8,0.3845,96.63,52.7,3.0,0.33,6.8,13.4,91.7,51.4,18.22,36.8,61.8,77.1,1427.0,0,1.0,0.2,4.75
EV228527,2017.0,220475.0,1271.0,49.46,0.8623,88.91,17.94,4.0,0.304,59.4,84.4,53.7,87.2,33.13,69.8,34.6,0.0,80.0,1,4.0,50.54,9.01
EV285303,2023.0,9395.0,50.0,95.98,0.4547,97.0,79.8,6.0,0.202,6.7,14.3,79.9,53.4,12.82,58.1,60.2,80.9,1415.0,0,1.0,4.02,3.0
EV254446,2020.0,169880.0,501.0,71.96,0.6499,93.97,54.96,10.0,0.564,35.0,90.6,79.5,63.0,22.02,76.7,49.9,33.3,665.0,0,3.0,28.04,
EV229508,2023.0,27100.0,73.0,90.73,0.4307,95.95,48.54,5.0,0.457,15.7,27.2,78.5,59.9,14.86,33.2,55.8,47.7,1029.0,0,3.0,9.27,3.17
EV229491,2022.0,64917.0,212.0,86.29,0.4366,96.26,55.26,4.0,0.317,17.9,57.6,91.0,64.3,2.55,18.3,56.1,62.5,850.0,0,,13.71,4.17
EV105151,2020.0,48641.0,111.0,97.19,0.3813,94.52,88.66,1.0,0.149,9.8,23.8,81.1,51.6,12.56,20.5,58.4,55.3,1309.0,0,1.0,2.81,6.07
EV217860,2021.0,40711.0,138.0,92.1,0.3902,96.84,51.41,1.0,0.426,7.7,22.1,78.7,49.5,9.91,31.8,58.6,52.9,1206.0,0,1.0,7.9,4.87
EV228186,2015.0,169152.0,462.0,67.51,0.5297,93.14,49.61,8.0,0.343,15.5,51.3,50.1,78.8,33.25,28.7,56.9,48.0,520.0,1,7.0,32.49,10.94
EV228128,2015.0,117230.0,356.0,74.82,0.5009,92.99,49.42,8.0,0.314,15.7,35.8,69.8,72.5,24.14,43.2,53.4,40.9,599.0,0,4.0,25.18,11.17
EV183806,2016.0,92023.0,558.0,46.24,0.8799,89.44,16.28,4.0,0.76,10.3,31.1,68.5,65.5,37.75,52.5,48.6,0.0,106.0,1,2.0,53.76,9.79
EV179491,2022.0,89105.0,162.0,90.26,0.4863,94.39,87.83,7.0,0.491,43.9,66.6,92.2,58.3,18.8,36.2,61.5,33.5,1265.0,0,3.0,9.74,4.03
